candidate_name,partition,trace_id,source_index,normalized_delta_nll,topk_union_jsd,late_jsd_spike,late_entropy_spike,entropy_monotonicity_violation,math_token_delta_nll,answer_token_delta_nll,overconfidence_collapse,rtd,token_count,token_mismatch
rtp_gate_structure_drop_10,calibration,gsm8k_dense_0050,86,21.990130845171212,0.023394053804744883,0.1309180681296815,0.6342915130779145,0.17106612187618828,57.52029827562315,7.8668462969964805,0.3577545577205328,10.642908049554913,131,False
rtp_gate_structure_drop_10,calibration,gsm8k_dense_0051,88,3.2341998967827927,0.020046524128009936,0.1359976736377309,0.3880249485373497,0.1839752038757202,3.8279284505198565,0.8234214890807456,0.47964643671894014,1.2757504702169575,152,False
rtp_gate_structure_drop_10,calibration,gsm8k_dense_0052,90,23.55984146638719,0.013981973285419773,0.06442753811259896,0.3219985350966447,0.16038921305889828,63.96484218364097,1.0719329140790526,0.4486289300665032,11.15520913167334,219,False
rtp_gate_structure_drop_10,calibration,gsm8k_dense_0053,91,5.1138217957749745,0.011875405595676495,0.0491134201306833,0.38099950551986694,0.14473237191108734,3.769585727758858,4.230393911646979,0.1787668759362937,1.8798204268301657,152,False
rtp_gate_structure_drop_10,calibration,gsm8k_dense_0054,95,7.1975311927667,0.015371985785821026,0.08790469439365446,0.4872743248939506,0.1424034787460617,4.367364386691537,3.052277408175119,0.14037529095714754,2.4102849893832348,207,False
rtp_gate_structure_drop_10,calibration,gsm8k_dense_0055,96,8.622317419483542,0.024340249708519883,0.1057462047627451,0.4280114278197289,0.19106786589415783,3.3432553120027064,3.0680776949278283,0.4159539871064541,2.6966335004860724,108,False
rtp_gate_structure_drop_10,calibration,gsm8k_dense_0056,103,360.40418439362173,0.028402746389604203,0.05126845438296064,0.48746645301580405,0.2154381464244552,927.6101735812791,11.354085114315119,0.47149088107362047,165.00389042096884,133,False
rtp_gate_structure_drop_10,calibration,gsm8k_dense_0057,104,5.787242804806276,0.022203665037778483,0.168469123654743,0.5687827825546259,0.1599208136987652,7.17825131979153,5.0974785940134115,0.41203189821452973,2.423002539422225,147,False
rtp_gate_structure_drop_10,calibration,gsm8k_dense_0058,105,3.9582170031429103,0.022474470799266566,0.10950934473284966,0.6235935091972351,0.1970818663447426,5.676582606433956,3.02487634006696,0.35116781251730345,1.7426904082723391,101,False
rtp_gate_structure_drop_10,calibration,gsm8k_dense_0059,107,14.25309922978691,0.035509483397372484,0.17176876512213946,0.9073298126459122,0.2046107477082322,28.388005932298732,2.449749463700326,0.39672161415066637,6.1613891882292275,190,False
rtp_gate_structure_drop_10,calibration,gsm8k_dense_0060,108,6.28263019266754,0.023451831220407997,0.07449351337559024,0.33974018301814735,0.1992608088078476,8.178252787834518,1.8757877998652543,0.5478563863176056,2.426903881599132,209,False
rtp_gate_structure_drop_10,calibration,gsm8k_dense_0061,109,1.7352557453671602,0.010618271459424289,0.06970616567523556,0.5972911596298217,0.12527815278691615,1.0966627230518544,2.435432220037395,0.2847917531538542,0.7691989382511089,120,False
rtp_gate_structure_drop_10,calibration,gsm8k_dense_0062,110,5.327865787682134,0.0212173063228436,0.15029198796316695,0.6165611118078232,0.17141581061622235,6.528300344282276,20.891211229884895,2.2850683779084213,3.1261824322390797,217,False
rtp_gate_structure_drop_10,calibration,gsm8k_dense_0063,112,4.923483344700417,0.025714022077545813,0.10452457562728118,0.2818935371935367,0.17384310174182044,7.124908015533938,2.146993097994943,2.669084468380003,2.0949520621240296,118,False
rtp_gate_structure_drop_10,calibration,gsm8k_dense_0064,113,5.986072876370229,0.033032249437072836,0.228810098185238,0.6121574267745018,0.20904323654206491,5.933432328991563,4.109064531675208,0.21900582639873006,2.3384015223484327,114,False
rtp_gate_structure_drop_10,calibration,gsm8k_dense_0065,114,108.92762970905964,0.038992622647267765,0.1805066964055064,0.8707637339830399,0.2600511344337305,348.79217643069103,10.586149831542144,0.1574356380377083,55.86160080889697,213,False
rtp_gate_structure_drop_10,calibration,gsm8k_dense_0066,117,5.237089199931431,0.01945104959324646,0.05835528839551508,0.28098171949386574,0.15076168127419878,10.234599772765863,0.27689791511590695,0.8043459120924765,2.2435369222812325,99,False
rtp_gate_structure_drop_10,calibration,gsm8k_dense_0067,118,7.523624008076111,0.02938809884611183,0.13372681900246433,0.7814515709877006,0.29523219463915873,14.113053548426215,3.6927432555287636,0.1885172178302936,3.3742179731375157,159,False
rtp_gate_structure_drop_10,calibration,gsm8k_dense_0068,120,3.781446332996793,0.018790449453536723,0.06739923419796243,0.6352704510092735,0.1795621452338034,6.586715019930753,2.6270459765095397,1.0929171721022601,1.774106718759328,133,False
rtp_gate_structure_drop_10,calibration,gsm8k_dense_0069,121,12.800532006509284,0.012951250258564848,0.044341836918749634,0.22046423852443703,0.10905521789806466,29.25301828163564,6.19842301414829,0.42142097304046383,5.920110111940032,216,False
rtp_gate_structure_drop_10,calibration,gsm8k_dense_0070,123,6.736225970123781,0.023571683033301368,0.09202877802984313,0.7807338148355484,0.1796180985297896,8.909540214729073,5.032062299922654,1.0006187178886385,2.8415666751497315,186,False
rtp_gate_structure_drop_10,calibration,gsm8k_dense_0071,126,12.45839799994054,0.014115564489939303,0.041699434933739954,0.31383248567581173,0.14823269585778345,11.204461233130532,1.3893386906981853,0.21811116475630735,4.15984163904614,112,False
rtp_gate_structure_drop_10,calibration,gsm8k_dense_0072,127,4.954108181190388,0.021417493730277185,0.1067468203590253,0.41537165194749814,0.18317860974847838,6.789552848447849,1.5543712148905755,0.5752031988270865,1.9829087425633134,103,False
rtp_gate_structure_drop_10,calibration,gsm8k_dense_0073,128,3.201535153869955,0.009877301460127701,0.041535946630394824,0.3378521136939524,0.11857110548307373,2.481155480771483,2.1555257160521,0.20989415451054638,1.185591512772017,294,False
rtp_gate_structure_drop_10,calibration,gsm8k_dense_0074,129,4.0947956479446,0.013511700302450861,0.04331830223388125,0.3748256534337997,0.15592816886477676,5.77608584468325,1.1600726553605591,0.1604353030035567,1.6309533407400512,308,False
rtp_gate_structure_drop_10,calibration,gsm8k_dense_0075,130,9.51634148330588,0.025198079577522188,0.1673093186555612,0.797261719405651,0.19170367960754392,3.4371695328207434,5.871566285035827,0.2452257554314361,3.125837955915068,199,False
rtp_gate_structure_drop_10,calibration,gsm8k_dense_0076,131,3.55293558150831,0.011986766324419943,0.043448583514132784,0.3521244350820779,0.16641703494059573,5.151151558929033,0.6988906364341327,0.2683901201831418,1.4241414309423193,80,False
rtp_gate_structure_drop_10,calibration,gsm8k_dense_0077,132,11.673273722476262,0.02802918179023281,0.18187111659715863,0.6764585374854502,0.15585932765146143,25.2596107014984,3.3800809579166216,1.075102068380701,5.300476050969777,260,False
rtp_gate_structure_drop_10,calibration,gsm8k_dense_0078,133,6.416347196667846,0.020160713540389716,0.1268657612593509,0.62813783288002,0.19351435119906454,7.66810885711101,1.5695986858140225,0.25558400630192946,2.442469704956703,171,False
rtp_gate_structure_drop_10,calibration,gsm8k_dense_0079,134,4.224794851664229,0.03556288490666923,0.26886582507999,0.6382752358913422,0.21085625065161367,8.06042701038012,1.0841026671105705,0.2864251330811924,1.9302531159193048,101,False
rtp_gate_structure_drop_10,calibration,gsm8k_dense_0080,136,102.44636367185197,0.03575017420066061,0.17446248844194276,0.7349163219332695,0.19937811824398263,13.821942809083739,7.289254020048108,0.7163976888019263,27.273244615980975,113,False
rtp_gate_structure_drop_10,calibration,gsm8k_dense_0081,137,2.9901282200241996,0.007934095950742522,0.05122312945289775,0.36010556966066354,0.0824718770862178,3.3313700007529423,2.8596835072802946,0.1938591745600494,1.2361548272594916,253,False
rtp_gate_structure_drop_10,calibration,gsm8k_dense_0082,139,2.6810181562702113,0.017104538659843644,0.1633609855644904,0.604301093146205,0.13350256301963237,1.3720664910695672,18.924869831024758,0.435412447809919,1.8752582328840923,126,False
rtp_gate_structure_drop_10,calibration,gsm8k_dense_0083,140,8.712229094278568,0.015595749650943172,0.08994692925487045,0.25660650953650427,0.08934870156009814,12.147331014554808,0.3725863616848134,1.0865436379209992,3.275659939246993,162,False
rtp_gate_structure_drop_10,calibration,gsm8k_dense_0084,141,160.0939588355097,0.02139915461612526,0.10506414020343732,0.36279919743537925,0.16263901635923425,48.325369105147814,9.027809742180066,0.9576611445113199,44.469511420291354,344,False
rtp_gate_structure_drop_10,calibration,gsm8k_dense_0085,142,4.600910606663663,0.026317710403814504,0.13925205759074843,0.41525031439960003,0.19706685702494314,7.877515823843865,0.9052412107871274,0.13118639508043164,1.9385576632897314,134,False
rtp_gate_structure_drop_10,calibration,gsm8k_dense_0086,143,2.6493861432143224,0.015331378080593,0.069920381359426,0.4203852415084838,0.1621374987919439,2.675516527249788,2.088542621509238,0.09844368526827552,1.0772719778336441,371,False
rtp_gate_structure_drop_10,calibration,gsm8k_dense_0087,145,36.97171079905741,0.017074273865148405,0.08038033134172898,0.5400741815566997,0.14806163585895876,74.57306267924181,1.1902748377795258,0.6177595417096701,15.403944547477447,181,False
rtp_gate_structure_drop_10,calibration,gsm8k_dense_0088,146,6.369078081345432,0.012630884249253247,0.08679514363221993,0.6344409048557275,0.16162021956820163,5.9321924815011355,2.565993003194904,0.207429144112929,2.3300627231755886,193,False
rtp_gate_structure_drop_10,calibration,gsm8k_dense_0089,149,4.715561369314096,0.022197132537575312,0.10799590212563655,0.5522151440381996,0.1897901801510706,3.8530836700185116,4.5978467032523405,0.7584540127567383,1.8693736903993374,103,False
rtp_gate_structure_drop_10,calibration,gsm8k_dense_0090,152,6.734317889391405,0.013615369230911258,0.04627311772831638,0.4943198561668397,0.11341668632111569,3.9352147061207945,0.7320543017802469,0.22791004270502252,2.138997146812677,110,False
rtp_gate_structure_drop_10,calibration,gsm8k_dense_0091,154,42.28725248962487,0.021141266499833014,0.06926800102082473,0.4525191009044647,0.19360328082147887,87.32968133073722,1.6588303317344342,0.38225793916489614,17.75785328435942,234,False
rtp_gate_structure_drop_10,calibration,gsm8k_dense_0092,156,6.424273844134315,0.018680181968390427,0.16830027369909623,0.29898820705711837,0.11664558885617124,3.6455000401307935,2.585475668579686,0.43580599949888255,2.129534751406341,145,False
rtp_gate_structure_drop_10,calibration,gsm8k_dense_0093,158,2.7788671628867725,0.02184447060011825,0.19741242638690726,0.44619070291519125,0.16770521938877345,3.5746366577797004,4.624093766335828,0.8647419285451351,1.3637250848448794,136,False
rtp_gate_structure_drop_10,calibration,gsm8k_dense_0094,160,4.120336525149133,0.014365756858606254,0.1021838026625516,0.4614844262599936,0.16176213460720876,4.057700621581523,1.7546594669552604,0.47601288068381203,1.5647859536225723,135,False
rtp_gate_structure_drop_10,calibration,gsm8k_dense_0095,161,42.36569639417709,0.014706298471485718,0.13382277128072753,0.6445591221563512,0.1081257918963521,99.07711516518472,4.9676219073567776,0.34114637304982337,18.909837258978946,259,False
rtp_gate_structure_drop_10,calibration,gsm8k_dense_0096,164,5.504271769611586,0.03282827625950736,0.17533779744769473,0.9166813135147094,0.29904503612667777,6.441176840225105,43.10675097778363,0.2758727954351154,4.257351010311231,169,False
rtp_gate_structure_drop_10,calibration,gsm8k_dense_0097,165,3.0698218038108975,0.013348832969260798,0.09155057933053953,0.5119769155979146,0.14501868234177284,3.528338070524237,13.692502271317398,0.056083150422736594,1.8440247185853553,91,False
rtp_gate_structure_drop_10,calibration,gsm8k_dense_0098,166,3.186244956359386,0.024500048626988014,0.08488058988924747,0.3620599120855331,0.20891740770379189,2.892940410250143,2.602726308633525,1.0211011863944741,1.2913196596167673,131,False
rtp_gate_structure_drop_10,calibration,gsm8k_dense_0099,167,8.826602077004923,0.011340914142346472,0.07614340527012595,0.3099903272464871,0.12890160773874632,3.63264845268373,1.401463094736138,0.1395701853265684,2.645769942812787,280,False
rtp_gate_structure_drop_10,calibration,gsm8k_dense_0100,168,4.6421248303885,0.017525637435769167,0.09592669767689008,0.3152922302484511,0.18100488656100275,6.698818051382312,1.6900463132303347,0.40206667607433627,1.8799595769955402,62,False
rtp_gate_structure_drop_10,calibration,gsm8k_dense_0101,169,3.2425366592654203,0.01801830609459146,0.036520904436959815,0.3137806374579666,0.12887772937825456,1.3615805557074825,10.901021870237662,0.446927687991891,1.5511651096236032,159,False
rtp_gate_structure_drop_10,calibration,gsm8k_dense_0102,170,26.60104923552447,0.02507611257364827,0.1144159328475545,0.6666911840438843,0.17743857020622159,6.027380842931162,5.401457516839659,0.16500983276895909,7.548549670285946,152,False
rtp_gate_structure_drop_10,calibration,gsm8k_dense_0103,171,1.3696074596812071,0.012539111487810188,0.08373985694467048,0.4675460081547497,0.10292618210091506,0.9520006892314377,2.0403193276812424,0.23276517293061527,0.6251310314029139,207,False
rtp_gate_structure_drop_10,calibration,gsm8k_dense_0104,173,19.42218766812037,0.02751335276576204,0.17633167732968671,0.9977359920740128,0.1941388831400168,32.42628503953109,7.809383735495656,0.19902142701709877,8.048556206270442,238,False
rtp_gate_structure_drop_10,calibration,gsm8k_dense_0105,174,5.669975379751471,0.014569063955653617,0.10956095742891898,0.4232276305556296,0.15229932275800143,8.884668266136805,3.719100744792656,0.7593994526179291,2.442368973558662,210,False
rtp_gate_structure_drop_10,calibration,gsm8k_dense_0106,176,5.114630713977622,0.026631102750051396,0.09902476814531376,0.5323001027107239,0.23415733193866695,5.552448818690444,2.4737803319993135,0.2998272536021904,1.9814437530509759,168,False
rtp_gate_structure_drop_10,calibration,gsm8k_dense_0107,178,3.1897641458599995,0.010586230087447296,0.05671160341489752,0.5208139091730117,0.11343997819921088,2.6044546440942,2.4230750534536734,0.08199832792246416,1.2301094399059662,155,False
rtp_gate_structure_drop_10,calibration,gsm8k_dense_0108,179,1.3410275007777255,0.010255574783383343,0.042508351661578944,0.44758019000291827,0.12167040393959676,1.1030013762682658,0.5788885043975489,0.13997541494586585,0.545566752218248,153,False
