candidate_name,partition,trace_id,source_index,normalized_delta_nll,topk_union_jsd,late_jsd_spike,late_entropy_spike,entropy_monotonicity_violation,math_token_delta_nll,answer_token_delta_nll,overconfidence_collapse,rtd,token_count,token_mismatch
reverse_3,calibration,gsm8k_dense_0050,86,4901.260799465299,0.2161550423284932,0.6698904949744797,2.859098272494156,0.45183842465675506,11459.534503471139,1918.1362074586511,0.7222106037336626,2238.6270990063026,131,False
reverse_3,calibration,gsm8k_dense_0051,88,9491.5447514729,0.22673755917260063,0.6729377816418867,2.70113932874483,0.5242770956073647,17028.39659611842,477.3048616451255,2.8383997978946303,3759.7360466686405,152,False
reverse_3,calibration,gsm8k_dense_0052,90,4519.342575808872,0.18389212476232497,0.5931372784462401,2.3707618571686897,0.4654328212443175,10321.264463715264,223.03404630454258,1.8638032988834237,1967.2872842315458,219,False
reverse_3,calibration,gsm8k_dense_0053,91,8218.281841064827,0.24087315534783196,0.5859353009867769,2.1007750288117677,0.4360116394570125,15181.694445124795,2446.17760277237,1.4858942227737018,3391.9642966650986,152,False
reverse_3,calibration,gsm8k_dense_0054,95,7383.585471752567,0.20766701785608815,0.6693908316804005,2.3707183581765987,0.5643929841061286,15231.326011615329,216.9159062109807,0.9812616834569621,3075.8373303853587,207,False
reverse_3,calibration,gsm8k_dense_0055,96,10681.82916203064,0.22053018894500112,0.573629118708325,3.0154649897485806,0.4954130878785155,26794.857399883665,117.92169821724352,1.9022920204916478,4820.645659949101,108,False
reverse_3,calibration,gsm8k_dense_0056,103,6860.360815458389,0.19804362878661103,0.6270572665487435,2.234837694131692,0.4440521423490612,13645.60811712354,6652.464767930328,5.553326493990787,3140.0935620022747,133,False
reverse_3,calibration,gsm8k_dense_0057,104,8524.696252691427,0.25610440585475486,0.6492908658099237,2.744847903645128,0.5018912273353884,15388.638432867696,369.01572960975216,2.266679990292888,3381.4120002135774,147,False
reverse_3,calibration,gsm8k_dense_0058,105,4446.554013341237,0.19016945244923736,0.6066924608023604,2.15871829201933,0.4507228300953284,12497.128363945061,5376.248260644747,1.793885644668063,2380.7870553063117,101,False
reverse_3,calibration,gsm8k_dense_0059,107,3161.373445900101,0.23663079327862013,0.6759411933558921,2.234948775731027,0.4308717873011514,4309.4630274721785,117.67102234708686,0.03250487086343412,1141.5075692018718,190,False
