candidate_name,layers,k,known_route,trace_count,top_k,layer_index,reverse_tail_priority,bi_prune_priority,normalized_delta_nll,topk_union_jsd,late_jsd_spike,late_entropy_spike,entropy_monotonicity_violation,math_token_delta_nll,answer_token_delta_nll,overconfidence_collapse,rtd,smoke_rtd,calibration_rtd,holdout_rtd,gsm8k_retention,xsum_retention,risky_gsm8k_lt_0_60,score_file
bi_2,"23,24",2,,300,100,,,,224.93132752442372,0.05211531092014146,0.23388309374030664,0.7125530969401007,0.19176572353564691,226.2341735988472,21.13381068448045,0.7135325910508126,75.587320363801,,77.09752496554924,72.56691116030453,,,,/root/hs/paper2_layer_pruning/results/day12_rtp_gate/rtd_scores/bi_2.json
bi_3,"2,23,24",3,,300,100,,,,293.18318041673365,0.07737133015051578,0.36833301514340916,1.2570013548868566,0.24945728096219588,438.907745353201,90.66635988394056,1.4336660952515028,113.28175209347447,,116.4826740323152,106.87990821579284,,,,/root/hs/paper2_layer_pruning/results/day12_rtp_gate/rtd_scores/bi_3.json
bi_5,"2,20,21,23,24",5,,300,100,,,,2267.2886791074366,0.19206908104628764,0.6119309567085695,2.5036582266379925,0.416840379030525,3425.1919643623833,1298.0152623929762,2.0358258408849257,906.3633179291259,,896.2063451215113,926.6772635443583,,,,/root/hs/paper2_layer_pruning/results/day12_rtp_gate/rtd_scores/bi_5.json
bi_6,"2,11,20,21,23,24",6,,300,100,,,,2923.6252539030615,0.24238169160232284,0.6306191329723236,3.2059010499952874,0.5267090560859795,4317.414295757643,1398.1268571441772,2.070200772542007,1146.9603856620292,,1146.1544006101478,1148.5723557657898,,,,/root/hs/paper2_layer_pruning/results/day12_rtp_gate/rtd_scores/bi_6.json
iterative_proxy_k2,"24,25",2,,300,100,,,,1477.4222657055059,0.09275558967066434,0.43540875112693783,0.9934626370518691,0.23900076392860886,1022.086215478482,119.96948776411546,1.4871276475408743,457.43534994952313,,459.7400198969988,452.8260100545711,,,,/root/hs/paper2_layer_pruning/results/day12_rtp_gate/rtd_scores/iterative_proxy_k2.json
iterative_proxy_k3,"1,24,25",3,,300,100,,,,1347.9142541378021,0.09778146603805833,0.45948782582373715,1.0426594832539409,0.2430815111823624,941.2812488755642,149.05347843869995,1.5113311590247598,420.0614215241584,,421.0046244414964,418.17501568948245,,,,/root/hs/paper2_layer_pruning/results/day12_rtp_gate/rtd_scores/iterative_proxy_k3.json
iterative_proxy_k5,"1,21,22,24,25",5,,300,100,,,,3475.015760434382,0.1761074071222495,0.6302369839484887,1.4681993406923493,0.32504078085953786,3092.8529020496367,618.9378635284421,2.2541977752616535,1147.5982022200626,,1129.5208872613546,1183.752832137479,,,,/root/hs/paper2_layer_pruning/results/day12_rtp_gate/rtd_scores/iterative_proxy_k5.json
iterative_proxy_k6,"1,21,22,23,24,25",6,,300,100,,,,25595.335759089827,0.42730556098139894,0.6930390836678259,3.9029132945042178,0.5960285388782267,46524.54557943078,26939.9435673901,2.7693206778993726,11468.731448035136,,11637.303320819161,11131.587702467083,,,,/root/hs/paper2_layer_pruning/results/day12_rtp_gate/rtd_scores/iterative_proxy_k6.json
reverse_2,"24,25",2,,300,100,,,,1477.4222657055059,0.09275558967066434,0.43540875112693783,0.9934626370518691,0.23900076392860886,1022.086215478482,119.96948776411546,1.4871276475408743,457.43534994952313,,459.7400198969988,452.8260100545711,,,,/root/hs/paper2_layer_pruning/results/day12_rtp_gate/rtd_scores/reverse_2.json
reverse_3,"23,24,25",3,,300,100,,,,6082.704594735867,0.20549975283212701,0.6229611799549664,2.3805971823575436,0.44913475970200667,10723.142684486309,2494.368092349993,1.8880717622734975,2503.8539281166904,,2552.3509571271406,2406.8598700957887,,,,/root/hs/paper2_layer_pruning/results/day12_rtp_gate/rtd_scores/reverse_3.json
reverse_5,"21,22,23,24,25",5,,300,100,,,,28497.785782109026,0.43914724322425486,0.6931200319646149,3.9974541872068396,0.6059046681384492,51978.79368467832,28513.06247890079,2.81383290815274,12709.358840666362,,12867.49304175585,12393.090438487385,,,,/root/hs/paper2_layer_pruning/results/day12_rtp_gate/rtd_scores/reverse_5.json
reverse_6,"20,21,22,23,24,25",6,,300,100,,,,36250.98149028064,0.49027236799041146,0.693144325695968,3.994333221283054,0.5844847082401959,67768.82458423858,34037.1260441936,2.8851484640429925,16187.072866586599,,16400.87155718607,15759.475485387651,,,,/root/hs/paper2_layer_pruning/results/day12_rtp_gate/rtd_scores/reverse_6.json
rtp_gate_pure_drop_0,0,1,,300,100,0,0,0,657.3287685877649,0.07667263093949193,0.37988847187536884,1.351327458932815,0.26162611623110993,1354.4293645572968,1060.809746101112,1.646850525644745,326.09254871242007,,322.13201987494244,334.0136063873759,,,,/root/hs/paper2_layer_pruning/results/day12_rtp_gate/rtd_scores/rtp_gate_pure_drop_0.json
rtp_gate_pure_drop_0_1,"0,1",2,,300,100,,,,4642.120521033204,0.3087538287826469,0.6631932276138554,3.6254014678459634,0.5592614914124687,8689.279554315339,9673.76488765244,1.1968951895622029,2340.163405836371,,2369.287871433121,2281.9144746428756,,,,/root/hs/paper2_layer_pruning/results/day12_rtp_gate/rtd_scores/rtp_gate_pure_drop_0_1.json
rtp_gate_pure_drop_0_1_24,"0,1,24",3,,300,100,,,,4898.088137464114,0.34673460149758983,0.6623416216128163,4.487924709432391,0.6314263263187406,8335.108964989664,9314.77156590784,1.1081197101608085,2358.0117494595565,,2389.5614658754457,2294.9123166277755,,,,/root/hs/paper2_layer_pruning/results/day12_rtp_gate/rtd_scores/rtp_gate_pure_drop_0_1_24.json
rtp_gate_pure_drop_0_1_9_19_24,"0,1,9,19,24",5,,300,100,,,,7029.655806695093,0.44056037466532405,0.6760216685698704,5.756288598668269,0.7512188465414219,10844.530958594958,11876.312369013798,0.4178106461595767,3219.9280285300865,,3256.2933982999198,3147.197288990422,,,,/root/hs/paper2_layer_pruning/results/day12_rtp_gate/rtd_scores/rtp_gate_pure_drop_0_1_9_19_24.json
rtp_gate_pure_drop_0_1_9_24,"0,1,9,24",4,,300,100,,,,5937.197746758151,0.3927869319470708,0.6713868108102834,4.824689134036196,0.6798100536119602,9971.502296463828,10379.256621832872,0.7751871213985766,2801.9765530279824,,2828.5204704096373,2748.8887182646718,,,,/root/hs/paper2_layer_pruning/results/day12_rtp_gate/rtd_scores/rtp_gate_pure_drop_0_1_9_24.json
rtp_gate_pure_drop_1,1,1,,300,100,1,1,0,1.3932916395035007,0.007673776867942394,0.03508709803802471,0.17783120012773232,0.1381841365426185,1.6075997144410297,1.2908512069089275,0.35169004146440674,0.6026784872505351,,0.5677944513765079,0.6724465589985907,,,,/root/hs/paper2_layer_pruning/results/day12_rtp_gate/rtd_scores/rtp_gate_pure_drop_1.json
rtp_gate_pure_drop_10,10,1,,300,100,10,10,0,18.278629191045894,0.019793259214731188,0.09640317671377745,0.5006312394395936,0.1706924975091237,30.12220849927525,7.297998319630069,0.48098200365848964,7.473760372663907,,8.39172312812811,5.637834861735504,,,,/root/hs/paper2_layer_pruning/results/day12_rtp_gate/rtd_scores/rtp_gate_pure_drop_10.json
