layer,base_calibration_rtd,seed_calibration_rtd
0,322.13201987494244,380.954265499123
1,0.5677944513765079,0.9026132597691974
2,24.500055145707485,23.74105097838286
3,6.424112236464151,6.579960140009142
4,43.681155332930345,55.66897272902518
5,13.016833641976195,14.952676801004264
6,7.739532407208781,5.067318972632216
7,13.343285155702558,11.843141853838487
8,6.096502422719022,5.5599856291535605
9,3.4498208789538025,7.140915152701241
10,8.39172312812811,7.711112379972629
11,13.726647073102086,10.691122491153289
12,7.937727452169995,5.66234201013301
13,14.923889174524518,15.260874517977038
14,15.742774869922211,14.895417989276744
15,24.781781977657534,32.52805386497876
16,72.81796418209402,86.4616044121312
17,32.231804920050166,40.4926882200825
18,128.06402609012395,151.5107420449139
19,16.977963720759824,22.633785031063915
20,141.81217896747762,150.05238608474858
21,6.51414239945631,10.375230523325666
22,11.558584989923718,11.886167521262546
23,7.1124650638023965,12.135790376509794
24,4.832464681065639,4.785687803034467
25,11.445885920147322,7.0785318620593225
